,years_of_experience,aerodynamics_score,technological_score,Leader,Leadership_score,distance,route_match,fuel_consumption,engine_temperature,body_weight,sensor_equipped
1216,2,21,4,0,248,571,29,132,39,2968,0
1217,14,31,1,0,387,666,90,63,68,1982,0
1218,15,28,1,0,362,637,79,49,74,3387,1
1219,1,44,5,1,480,805,45,32,40,2595,0
1220,9,49,1,1,542,732,25,106,39,2558,0
1221,16,17,7,0,299,649,32,118,76,1777,1
1222,14,8,1,0,157,995,11,63,73,2063,0
1223,13,20,7,0,314,597,100,46,59,1255,1
1224,16,9,1,0,177,967,93,144,74,1269,1
1225,16,32,8,1,456,829,44,118,43,1761,1
1226,8,28,6,0,362,683,94,104,76,2708,1
1227,16,12,9,0,263,876,80,135,47,2507,0
1228,13,42,6,1,527,554,87,103,42,1374,0
1229,10,11,1,0,167,753,80,137,36,1321,1
1230,20,26,2,0,374,975,54,130,67,2418,0
1231,19,38,9,1,538,872,27,103,62,3628,1
1232,12,23,5,0,325,789,94,37,63,1597,0
1233,19,7,5,0,200,922,91,66,77,1580,0
1234,13,36,9,1,488,849,90,44,75,3721,1
1235,5,43,2,1,469,990,74,118,68,2711,1
1236,0,10,4,0,128,646,48,139,77,3644,1
1237,9,21,9,0,318,950,7,52,48,2571,0
1238,1,40,9,1,468,886,85,117,65,1635,0
1239,16,40,2,1,494,738,29,30,36,2032,1
1240,7,35,4,0,413,939,0,91,51,3264,0
1241,17,44,5,1,560,580,5,119,45,3031,1
1242,1,40,6,0,447,705,94,75,69,1938,1
1243,4,43,2,1,464,941,8,82,77,2227,0
1244,16,17,7,0,299,871,41,36,59,1696,1
1245,9,30,10,0,415,995,23,42,75,3940,0
1246,7,13,5,0,200,999,35,74,58,2284,0
1247,15,5,6,0,167,567,93,125,43,2943,1
1248,8,25,9,0,353,998,44,115,61,1789,1
1249,14,15,4,0,248,917,44,113,75,1249,0
1250,16,12,2,0,214,824,64,42,54,1342,1
1251,17,25,7,0,384,576,40,76,40,3845,0
1252,8,31,8,0,406,966,69,80,41,2901,0
1253,17,16,7,0,294,639,68,108,43,2543,1
1254,9,14,10,0,255,671,74,101,62,1866,1
1255,6,8,9,0,173,522,82,41,57,2054,0
1256,9,46,4,1,533,766,28,67,44,2644,0
1257,10,33,7,0,429,643,99,86,45,3042,1
1258,5,20,5,0,260,675,11,79,50,1472,0
1259,7,22,5,1,290,810,68,64,55,2400,0
1260,18,22,6,0,352,535,89,49,53,3070,1
1261,14,34,2,0,424,534,86,123,57,2738,1
1262,1,8,7,0,134,714,20,130,77,1824,1
1263,11,12,10,0,245,674,98,130,76,2868,1
1264,19,44,6,0,577,563,5,94,78,2710,0
1265,15,24,7,0,364,515,14,71,70,2652,1
1266,10,37,10,0,490,976,94,106,39,3614,0
1267,19,6,8,0,211,587,95,48,72,3490,0
1268,2,9,6,0,142,738,88,110,36,3173,0
1269,10,33,10,0,450,809,2,150,46,1201,1
1270,10,38,9,0,493,886,40,133,79,1396,0
1271,0,50,7,1,549,972,11,120,64,1371,0
1272,19,32,4,0,443,962,74,130,44,1787,1
1273,10,39,1,0,447,647,0,123,39,1401,1
1274,16,37,10,0,520,818,26,46,65,2266,0
1275,5,33,5,0,390,617,28,86,40,3866,1
1276,11,25,2,1,319,585,60,40,79,3629,1
1277,2,20,4,0,238,559,49,43,49,3191,0
1278,2,9,8,0,156,837,89,34,52,1329,1
1279,10,35,4,0,428,597,56,34,46,3989,0
1280,20,27,8,0,426,894,82,124,58,3085,0
1281,20,46,9,1,623,819,59,35,44,1231,1
1282,3,14,9,0,218,564,26,133,41,2547,0
1283,14,45,1,1,527,578,73,53,58,2072,0
1284,2,44,1,1,457,977,56,57,58,3550,1
1285,14,22,3,0,311,738,41,104,67,3100,0
1286,3,42,4,1,463,535,24,118,45,2441,0
1287,17,9,3,0,196,501,60,93,69,3050,1
1288,12,44,10,1,570,764,22,124,69,2385,1
1289,17,36,3,1,466,833,0,121,66,3809,1
1290,9,29,10,0,405,759,21,88,44,2527,0
1291,1,28,1,0,292,989,22,77,65,3627,1
1292,5,5,5,0,110,893,15,142,51,1840,0
1293,18,18,6,0,312,543,60,84,47,1251,0
1294,18,31,3,1,421,598,81,107,70,1751,0
1295,2,22,9,0,293,538,32,34,71,3356,1
1296,14,43,10,1,570,931,10,49,73,2709,0
1297,3,21,6,0,267,993,79,128,55,3419,0
1298,9,25,7,0,344,979,19,123,44,1355,0
1299,7,41,8,1,501,529,80,125,55,3252,1
1300,13,10,1,0,172,974,45,55,70,2935,0
1301,7,18,3,0,236,759,85,47,75,3587,1
1302,4,44,1,1,467,510,58,85,38,3783,0
1303,6,15,1,0,187,522,74,77,55,2745,0
1304,11,48,3,1,556,756,57,117,62,3939,1
1305,9,25,4,0,323,600,35,89,69,3467,0
1306,8,38,8,1,476,813,55,51,43,1709,0
1307,4,44,6,1,502,784,1,148,43,3286,0
1308,9,7,4,0,143,837,35,84,75,3666,1
1309,8,10,6,0,182,845,81,92,80,1639,1
1310,6,18,3,0,231,813,28,102,71,3919,0
1311,11,16,7,0,264,934,94,63,72,2275,1
1312,7,47,3,1,526,629,72,80,55,1476,1
1313,13,18,4,0,273,869,66,149,58,1677,1
1314,16,18,1,0,267,631,45,36,49,3185,1
1315,19,15,6,0,287,809,48,60,39,1839,1
1316,13,29,9,0,418,862,67,64,67,3092,0
1317,8,36,8,1,456,993,45,46,60,1416,0
1318,6,43,3,1,481,954,97,85,51,1209,0
1319,8,14,9,0,243,602,2,54,74,3305,1
1320,13,45,4,1,543,877,70,117,66,3434,1
1321,16,6,2,0,154,810,63,128,71,3566,1
1322,19,39,10,1,555,625,37,62,63,3734,0
1323,20,36,8,1,516,705,21,98,55,1460,0
1324,3,17,5,0,220,736,44,115,64,3534,1
1325,14,41,9,0,543,630,33,41,45,2516,1
1326,0,36,6,0,402,762,84,65,62,2863,1
1327,14,38,8,1,506,992,77,150,39,2778,0
1328,6,16,9,0,253,826,88,135,58,3558,1
1329,3,29,5,0,340,868,65,85,69,2585,1
1330,11,7,3,0,146,635,48,150,45,2615,0
1331,1,16,6,0,207,566,1,102,72,1216,1
1332,4,12,8,0,196,667,44,118,52,2257,0
1333,11,39,4,1,473,906,47,136,46,3627,0
1334,20,7,1,0,177,580,61,79,65,2252,1
1335,0,44,1,0,447,916,76,99,64,3098,1
1336,3,31,2,0,339,880,98,73,51,3920,1
1337,17,16,4,0,273,666,82,107,75,2271,1
1338,7,15,7,0,234,636,57,93,77,1931,0
1339,1,18,1,0,192,830,9,128,64,3222,1
1340,7,22,1,0,262,640,55,73,75,2602,1
1341,19,49,9,1,648,820,65,104,75,1917,1
1342,18,44,6,1,572,996,36,135,41,2630,1
1343,19,12,5,0,250,796,48,124,53,3446,1
1344,3,33,2,1,359,892,96,81,63,3044,0
1345,15,13,7,0,254,504,7,61,42,2657,0
1346,3,15,1,0,172,814,56,133,49,3147,1
1347,19,44,10,1,605,824,64,51,48,3779,0
1348,19,29,9,0,448,501,40,50,38,2985,1
1349,8,13,8,0,226,693,1,30,45,2014,1
1350,0,19,8,0,246,707,94,35,37,2670,0
1351,10,38,9,1,493,743,33,103,52,1758,0
1352,5,17,9,0,258,769,93,102,47,2345,1
1353,5,18,9,0,268,958,100,96,51,3242,1
1354,4,12,10,0,210,962,75,102,66,3111,1
1355,10,10,5,0,185,843,31,84,69,3821,1
1356,16,7,4,0,178,734,98,124,75,2920,0
1357,6,15,10,0,250,643,1,88,78,1737,1
1358,16,35,9,1,493,787,44,144,38,2859,0
1359,5,29,10,0,385,726,71,117,66,2604,1
1360,7,5,8,0,141,918,21,46,66,2842,1
1361,20,21,3,0,331,534,12,71,64,3066,1
1362,8,37,6,1,452,717,69,70,58,3225,0
1363,6,21,2,0,254,648,6,121,62,3612,1
1364,0,41,3,0,431,923,23,75,63,3593,1
1365,16,38,6,1,502,918,26,90,66,3991,1
1366,1,41,9,0,478,729,8,134,61,3058,1
1367,1,21,9,0,278,761,94,126,43,3760,0
1368,0,7,8,1,126,948,42,108,58,1325,1
1369,2,14,6,0,192,912,0,77,46,3059,0
1370,17,31,7,0,444,949,87,146,75,3961,1
1371,11,36,7,1,464,745,71,63,39,2500,1
1372,2,48,4,0,518,683,26,61,48,3115,0
1373,10,18,6,0,272,790,3,137,53,3988,1
1374,1,48,8,1,541,961,70,143,38,3186,1
1375,12,20,9,0,323,913,44,69,66,2588,1
1376,16,28,1,0,367,832,94,51,38,3127,0
1377,5,24,5,0,300,793,39,111,66,2002,1
1378,9,29,7,0,384,714,52,139,41,2878,1
1379,16,37,2,1,464,505,19,30,61,1770,0
1380,9,20,5,0,280,780,72,33,75,2753,1
1381,0,44,10,1,510,925,91,104,55,2532,1
1382,0,49,4,1,518,944,84,34,55,3533,1
1383,7,26,3,0,316,613,92,36,58,1650,0
1384,12,39,6,1,492,960,62,52,62,3756,1
1385,0,26,8,0,316,763,18,83,56,3157,1
1386,10,41,3,1,481,782,64,57,75,1542,0
1387,4,21,9,0,293,700,0,40,49,3191,0
1388,20,30,1,0,407,882,32,89,52,2050,1
1389,1,11,8,0,171,749,75,43,78,3315,0
1390,17,5,7,0,184,743,18,78,74,2611,0
1391,5,34,10,0,435,838,20,145,71,3759,0
1392,6,48,1,1,517,517,40,53,71,1494,0
1393,11,9,3,0,166,881,0,78,75,3062,0
1394,20,8,7,0,229,882,48,99,39,3043,0
1395,3,31,9,0,388,732,14,81,44,1907,1
1396,9,38,7,1,474,773,100,84,63,3669,1
1397,7,18,1,0,222,731,84,71,56,2783,0
1398,6,40,9,1,493,764,18,105,76,1331,0
1399,15,7,2,0,159,763,53,46,51,1409,0
1400,17,46,2,1,559,812,77,67,44,2037,0
1401,17,18,3,0,286,547,56,116,50,1448,0
1402,14,28,4,0,378,802,75,86,74,2696,1
1403,3,49,6,1,547,657,45,147,75,3543,1
1404,2,37,3,0,401,612,84,121,40,1924,1
1405,17,20,1,0,292,924,76,46,38,2506,1
1406,17,29,4,0,403,979,74,65,57,3252,0
1407,15,38,6,1,497,906,6,79,56,2046,0
1408,14,12,9,0,253,1000,99,100,61,3370,1
1409,13,30,3,0,386,527,93,150,41,3624,0
1410,7,19,5,0,260,633,51,66,42,1895,1
1411,4,18,1,0,207,733,41,142,44,1251,1
1412,11,49,6,1,587,589,49,67,38,3456,0
1413,1,7,7,1,124,960,14,85,78,3836,0
1414,14,18,4,0,278,882,43,41,60,3522,1
1415,17,39,6,0,517,593,37,68,64,3389,1
1416,13,6,6,0,167,852,29,118,75,3027,0
1417,6,27,7,0,349,890,83,62,69,3215,1
1418,5,45,9,1,538,883,64,59,43,3882,1
1419,10,37,3,0,441,755,42,88,53,2477,0
1420,16,43,10,1,580,505,34,53,62,1657,1
1421,19,17,8,0,321,923,9,40,66,2065,0
1422,0,32,10,0,390,782,82,55,63,2770,1
1423,11,8,4,0,163,837,59,136,57,1212,1
1424,0,26,1,0,267,552,84,101,69,1971,1
1425,6,7,7,0,149,695,29,83,71,2105,0
1426,12,9,7,1,199,808,47,36,55,3698,1
1427,13,24,5,0,340,974,94,85,71,2821,0
1428,10,32,1,0,377,792,44,91,56,3129,1
1429,20,10,9,0,263,717,77,37,76,1407,0
1430,4,13,8,0,206,814,35,69,71,2398,1
1431,4,14,8,0,216,599,3,144,42,2557,0
1432,19,8,1,0,182,927,75,144,48,2359,1
1433,2,45,5,1,495,529,79,73,47,2476,1
1434,8,30,9,0,403,544,91,95,58,2765,0
1435,0,45,10,1,520,950,97,45,58,2708,0
1436,1,19,1,0,202,623,38,144,79,3313,0
1437,12,22,2,0,294,866,33,69,80,3316,1
1438,20,50,2,1,614,895,99,134,49,1631,0
1439,0,38,6,0,422,736,68,116,44,3228,0
1440,15,49,7,0,614,648,75,130,37,2675,1
1441,16,41,3,1,511,661,53,103,51,2305,0
1442,4,6,4,0,108,821,56,89,57,2673,1
1443,19,46,8,1,611,935,43,106,70,1955,0
1444,2,37,2,0,394,892,24,141,77,2992,1
1445,19,43,10,1,595,507,80,41,80,1741,0
1446,9,38,2,0,439,829,18,79,48,3153,1
1447,12,18,9,0,303,559,17,39,73,3060,0
1448,7,34,4,0,403,946,49,147,47,2256,1
1449,8,8,3,0,141,592,78,148,68,1896,0
1450,7,34,3,0,396,704,90,74,37,1315,0
1451,18,39,1,1,487,865,87,77,79,2677,1
1452,19,39,8,1,541,931,82,110,79,1925,1
1453,2,48,3,1,511,730,1,134,73,1847,1
1454,19,25,4,0,373,808,75,55,48,1324,1
1455,13,11,7,0,224,769,30,37,69,3956,0
1456,5,46,2,1,499,583,77,74,80,1369,1
1457,3,25,1,0,272,662,48,38,63,1454,1
1458,6,20,9,0,293,592,76,98,67,1682,0
1459,5,49,4,1,543,549,32,136,58,3138,0
1460,14,33,3,0,421,784,87,132,41,1517,0
1461,5,40,8,1,481,897,99,50,52,2078,1
1462,8,29,10,0,400,908,25,150,65,1294,0
1463,12,32,10,0,450,892,54,52,63,2087,1
1464,20,49,2,1,604,836,18,120,49,3696,0
1465,3,19,1,0,212,875,32,49,57,2348,0
1466,7,5,7,0,134,763,24,54,48,1737,0
1467,0,47,4,1,498,664,60,44,64,3847,1
1468,9,50,3,0,566,806,85,53,57,1427,0
1469,14,47,8,1,596,747,9,123,45,2364,1
1470,13,13,6,0,237,910,40,76,75,2006,0
1471,13,30,3,0,386,577,75,115,38,3411,0
1472,0,44,10,1,510,529,72,133,71,2329,1
1473,0,41,9,1,473,516,16,83,69,3281,1
1474,9,24,7,0,334,688,56,57,44,3247,0
1475,12,32,9,0,443,759,71,81,73,2834,1
1476,11,11,2,0,179,605,58,125,55,2867,0
1477,4,29,5,0,345,847,98,56,80,3164,1
1478,6,25,10,0,350,680,79,60,66,2980,0
1479,20,15,4,0,278,867,2,54,61,2980,1
1480,2,35,1,0,367,733,78,144,55,2997,0
1481,7,37,4,1,433,784,21,145,46,2455,0
1482,6,25,10,0,350,955,53,51,76,1996,0
1483,18,16,9,0,313,560,5,36,49,3462,1
1484,3,32,7,0,384,677,30,44,80,2799,0
1485,12,48,7,1,589,586,7,134,73,1581,1
1486,20,33,5,1,465,585,72,63,57,1794,1
1487,0,39,3,0,411,573,19,32,62,1717,1
1488,8,44,5,1,515,591,94,133,70,3843,0
1489,18,48,5,1,605,715,48,30,41,1830,0
1490,8,22,1,0,267,554,93,64,63,3865,0
1491,6,50,5,1,565,837,15,103,67,3843,0
1492,11,39,3,1,466,649,13,68,74,3642,1
1493,2,32,5,0,365,894,17,115,51,1786,0
1494,12,50,4,1,588,754,36,114,73,3242,1
1495,20,33,9,0,493,685,77,66,72,3510,1
1496,4,30,5,0,355,954,49,108,49,1505,0
1497,14,31,2,0,394,987,73,48,38,2679,0
1498,13,50,2,1,579,797,30,34,59,2133,1
1499,16,45,1,1,537,561,81,64,55,3204,0
1500,16,50,1,1,587,916,50,49,56,3750,1
1501,10,50,4,1,578,636,51,124,41,3857,0
1502,15,19,2,0,279,528,4,137,68,1507,1
1503,6,11,1,0,147,544,27,103,50,3141,1
1504,13,42,10,1,555,675,85,88,65,1844,1
1505,5,18,3,0,226,510,56,59,50,2324,1
1506,15,28,8,0,411,910,93,144,62,2779,1
1507,10,32,2,0,384,908,79,85,77,1243,0
1508,11,6,1,0,122,824,5,93,74,1507,0
1509,13,11,5,0,210,573,73,142,47,3712,0
1510,17,5,9,0,198,892,29,113,68,1427,0
1511,10,15,10,0,270,525,58,99,42,3202,1
1512,11,33,1,0,392,690,27,73,67,1956,0
1513,15,16,8,0,291,873,91,142,58,3801,0
1514,19,42,8,1,571,964,48,50,54,2735,1
1515,2,34,6,0,392,544,68,108,36,3838,1
1516,4,39,3,0,431,912,1,96,43,2782,0
1517,19,13,4,0,253,507,33,104,42,3934,1
1518,4,21,7,0,279,859,18,55,70,1415,0
1519,16,20,4,0,308,703,87,126,63,2353,1
1520,18,20,6,0,332,815,59,56,45,3379,0
1521,0,13,6,0,172,530,30,63,65,2444,1
1522,9,5,10,0,165,849,5,92,36,3020,0
1523,12,35,5,0,445,594,41,63,50,1350,1
1524,19,40,9,1,558,854,67,31,75,1754,0
1525,12,24,7,0,349,734,14,90,78,1907,0
1526,10,35,10,1,470,671,60,63,53,2825,1
1527,13,30,4,0,393,957,35,40,73,3596,0
1528,9,16,3,0,226,975,35,38,36,3797,0
1529,15,45,5,1,560,981,69,150,40,3561,0
1530,10,49,2,1,554,919,22,54,36,2087,0
1531,4,45,2,0,484,632,54,72,67,1364,0
1532,3,40,9,1,478,508,58,49,37,1548,1
1533,6,16,1,0,197,684,56,91,46,2596,0
1534,7,6,1,0,102,850,22,76,40,2812,0
1535,18,36,6,0,492,518,95,105,55,1795,1
1536,5,5,1,0,82,523,41,90,53,2492,1
1537,11,42,3,1,496,559,98,109,80,2863,0
1538,14,32,6,0,432,538,95,84,41,1782,1
1539,12,25,5,1,345,917,80,117,51,3816,0
1540,18,8,3,1,191,916,6,69,55,1677,1
1541,7,9,2,0,139,573,19,137,39,2600,0
1542,9,5,10,0,165,668,12,57,39,2789,0
1543,13,43,1,1,502,693,34,149,43,3073,1
1544,8,6,2,0,114,685,89,78,57,1544,0
1545,10,8,3,0,151,505,74,40,77,2631,1
1546,15,16,9,0,298,884,26,40,70,2397,0
1547,13,17,6,0,277,853,72,55,77,2856,0
1548,4,22,10,0,310,505,27,66,47,3340,0
1549,3,32,1,0,342,724,79,78,43,2851,0
1550,0,26,2,0,274,889,15,71,45,3476,1
1551,13,45,6,1,557,569,91,136,56,2209,0
1552,19,34,4,1,463,680,16,80,69,3184,0
1553,12,27,5,0,365,586,90,115,66,2706,1
1554,13,30,9,0,428,905,92,56,73,3464,1
1555,12,48,3,1,561,937,63,57,50,1670,0
1556,5,11,6,0,177,537,45,125,39,3304,0
1557,18,18,3,0,291,996,73,30,36,3759,1
1558,8,38,1,0,427,572,1,146,62,2086,0
1559,12,30,2,0,374,901,26,72,68,1420,0
1560,10,38,3,1,451,510,36,102,37,2332,0
1561,17,15,3,0,256,529,34,122,39,1322,0
1562,13,42,6,1,527,706,91,50,47,3748,0
1563,7,36,10,1,465,616,49,35,53,3532,1
1564,1,44,1,1,452,789,97,48,79,2251,0
1565,5,14,4,0,193,568,74,127,68,3917,1
1566,4,15,4,0,198,731,69,43,52,3926,0
1567,8,10,3,0,161,510,94,61,64,3567,1
1568,19,32,1,1,422,514,35,105,51,1845,0
1569,2,26,6,0,312,855,9,86,52,3507,1
1570,13,19,6,0,297,902,89,129,78,3649,0
1571,3,14,10,0,225,976,51,83,51,2839,0
1572,0,35,4,0,378,537,82,118,51,2140,0
1573,11,22,6,0,317,674,54,109,52,2659,1
1574,3,43,9,1,508,976,37,47,68,1258,1
1575,1,50,5,1,540,521,91,125,79,3021,0
1576,12,43,1,1,497,923,2,102,51,1884,0
1577,12,10,1,0,167,763,55,144,39,2774,1
1578,17,33,10,1,485,872,75,44,54,1771,1
1579,3,26,2,0,289,738,80,64,76,1238,1
1580,15,35,4,1,453,568,96,32,45,2376,1
1581,17,33,2,0,429,816,43,115,80,3880,1
1582,16,38,6,1,502,837,92,110,68,3623,0
1583,18,30,6,0,432,822,63,87,53,1749,0
1584,10,42,1,1,477,585,90,110,57,3814,1
1585,17,42,4,1,533,860,33,35,36,1412,0
1586,3,21,9,0,288,902,99,79,77,2122,0
1587,17,32,8,1,461,883,4,137,59,1691,1
1588,3,43,6,1,487,792,6,59,65,2396,0
1589,9,35,5,0,430,525,2,56,60,1264,0
1590,13,21,1,0,282,953,61,98,51,3906,1
1591,11,47,9,1,588,728,5,76,48,3850,0
1592,17,19,5,0,310,580,0,133,63,1995,1
1593,0,22,8,0,276,813,33,133,72,1561,1
1594,2,6,8,0,126,919,27,41,71,1210,1
1595,8,24,6,0,322,850,58,117,71,3310,1
1596,13,18,3,0,266,900,35,48,52,1222,1
1597,11,50,5,1,590,748,27,58,39,2215,1
1598,14,23,8,0,356,634,8,131,68,1978,0
1599,16,44,4,1,548,712,18,83,71,1366,1
1600,3,50,5,1,550,964,25,102,80,3502,0
1601,20,30,2,0,414,836,36,135,41,2992,0
1602,2,40,5,0,445,959,34,53,77,3296,0
1603,8,48,10,1,590,579,66,97,45,2401,0
1604,7,32,3,0,376,755,72,147,79,2417,0
1605,12,33,5,0,425,703,19,147,44,2353,0
1606,9,8,9,0,188,955,81,92,38,1786,0
1607,2,41,10,1,490,623,10,126,75,2858,1
1608,20,26,7,0,409,565,32,58,62,2969,1
1609,4,26,10,0,350,617,44,52,80,1547,0
1610,2,26,2,0,284,628,22,85,73,2660,0
1611,6,24,5,0,305,717,2,71,58,1408,1
1612,9,29,6,0,377,534,19,120,72,1261,0
1613,8,33,3,0,391,741,0,119,61,1994,0
1614,15,42,5,1,530,603,83,135,66,3728,1
1615,4,33,1,0,357,604,29,47,78,1821,1
1616,15,28,8,0,411,539,43,88,53,2485,1
1617,19,17,9,0,328,877,58,32,57,1334,0
1618,19,45,5,1,580,828,59,148,59,1569,0
1619,10,35,5,1,435,941,18,123,74,3099,1
1620,19,49,2,1,599,947,67,55,52,3069,1
1621,14,5,3,0,141,824,9,82,66,2908,0
1622,15,14,6,0,257,878,68,122,36,2103,1
1623,1,24,4,0,273,578,14,100,37,2265,1
1624,16,11,8,0,246,580,19,119,51,3491,1
1625,17,49,5,1,610,599,97,74,36,2301,0
1626,20,43,3,1,551,829,49,84,48,2301,1
1627,20,22,6,0,362,630,70,43,71,2274,0
1628,7,44,10,0,545,532,88,78,68,2164,0
1629,6,11,2,0,154,719,12,145,74,1298,0
1630,13,30,6,1,407,926,8,111,42,1676,1
1631,15,44,8,1,571,647,76,130,51,2882,1
1632,8,45,7,1,539,598,10,31,59,3289,0
1633,7,8,7,0,164,878,90,142,79,2598,0
1634,8,25,2,0,304,828,60,98,47,2420,0
1635,16,36,3,1,461,742,24,108,52,2132,1
1636,9,43,7,1,524,867,99,143,56,1817,0
1637,7,43,1,0,472,621,70,140,62,2613,1
1638,1,13,6,0,177,528,26,43,77,3642,1
1639,5,24,3,0,286,988,32,126,45,3513,1
1640,2,34,4,0,378,954,50,104,74,3788,1
1641,19,12,7,0,264,707,14,94,62,3660,1
1642,3,12,2,0,149,637,12,91,57,2748,0
1643,15,7,3,1,166,636,6,50,68,1667,1
1644,10,24,2,0,304,842,45,141,44,3681,1
1645,8,21,4,0,278,512,51,93,79,2326,1
1646,12,22,5,0,315,679,43,113,75,3730,1
1647,11,43,4,1,513,949,39,70,45,2164,0
1648,8,18,8,0,276,585,49,62,36,1770,0
1649,1,35,5,0,390,961,29,55,75,2103,0
1650,1,20,7,0,254,719,44,40,53,3513,0
1651,17,35,1,0,442,564,85,42,73,3601,0
1652,19,15,7,0,294,787,86,79,54,2500,0
1653,17,46,2,1,559,577,90,37,80,3626,0
1654,10,45,5,1,535,827,87,91,42,1973,0
1655,15,15,6,0,267,759,66,150,59,3834,1
1656,8,25,1,0,297,552,51,98,38,3692,0
1657,2,16,5,0,205,601,86,147,77,2994,1
1658,8,11,3,0,171,688,17,100,44,3838,0
1659,2,34,9,0,413,963,39,105,59,2246,0
1660,7,28,8,0,371,799,91,71,69,1359,0
1661,19,45,4,1,573,939,62,31,51,1561,0
1662,0,5,4,0,78,540,3,55,63,3780,0
1663,3,38,3,0,416,571,42,117,60,3147,0
1664,9,39,5,1,470,728,12,36,52,3914,0
1665,11,46,7,1,564,632,4,99,73,2388,0
1666,1,26,5,0,300,877,10,130,40,1343,0
1667,1,20,1,0,212,627,94,95,37,3945,1
1668,17,32,10,1,475,892,94,141,71,3716,0
1669,20,44,8,1,596,705,14,31,66,1823,0
1670,8,29,5,0,365,959,85,50,40,2670,1
1671,12,19,2,0,264,783,29,39,37,1782,1
1672,18,19,10,0,350,763,96,90,67,1984,1
1673,20,48,4,1,608,968,91,105,55,3824,1
1674,19,34,2,0,449,838,84,64,58,1837,1
1675,8,24,3,0,301,670,99,48,78,3633,0
1676,13,34,10,0,475,789,22,81,62,2770,0
1677,11,6,9,0,178,535,73,113,52,2056,1
1678,14,40,2,1,484,952,4,58,48,3256,0
1679,8,7,5,0,145,981,77,59,46,3878,1
1680,11,26,2,0,329,646,60,123,40,1450,1
1681,6,18,10,0,280,635,49,60,38,3147,0
1682,1,34,4,0,373,524,15,49,76,2578,1
1683,0,38,7,0,429,537,21,63,66,1325,1
1684,20,24,3,0,361,505,75,129,44,3372,0
1685,1,46,5,1,500,663,75,122,41,3045,1
1686,0,6,9,0,123,793,9,52,67,2030,0
1687,7,42,2,1,469,977,9,130,61,3843,0
1688,6,48,3,1,531,656,8,39,36,3872,1
1689,1,15,7,0,204,522,61,68,77,3325,0
1690,8,29,7,1,379,930,12,123,77,1677,0
1691,12,25,10,0,380,972,62,114,40,3637,0
1692,17,15,8,0,291,529,9,108,47,2700,0
1693,1,47,5,1,510,810,23,94,58,2741,0
1694,8,6,10,0,170,797,64,143,60,3156,0
1695,9,39,10,1,505,969,88,139,60,1453,1
1696,18,5,3,0,161,593,42,41,66,3763,0
1697,3,16,4,0,203,565,16,57,75,2538,0
1698,0,36,6,0,402,887,63,42,50,2783,0
1699,8,22,2,0,274,509,8,132,50,2967,1
1700,8,21,4,0,278,638,24,70,50,3534,1
1701,8,28,2,0,334,785,5,87,37,2403,0
1702,11,14,3,0,216,585,26,75,45,3263,0
1703,14,50,6,1,612,758,54,77,40,3773,0
1704,1,38,10,1,455,876,91,91,65,1648,1
1705,2,25,1,0,267,740,28,111,75,1331,0
1706,17,5,2,0,149,809,53,141,41,3008,0
1707,19,7,4,1,193,676,21,123,80,2910,0
1708,14,19,6,0,302,502,9,62,77,3028,1
1709,5,25,4,0,303,603,63,44,53,2581,0
1710,10,11,2,0,174,651,24,145,66,3099,0
1711,1,13,5,0,170,516,2,130,53,3213,0
1712,7,22,6,0,297,615,52,74,70,2680,1
1713,3,26,1,0,282,990,85,122,39,2783,0
1714,7,12,6,0,197,701,70,73,68,1905,0
1715,17,49,3,1,596,624,50,90,54,2659,1
1716,4,43,7,1,499,504,82,97,77,2372,0
1717,9,5,1,0,102,588,18,146,73,2624,0
1718,14,23,6,0,342,890,55,69,71,3372,1
1719,12,36,2,0,434,512,47,72,47,3919,1
1720,3,30,8,0,371,815,30,113,74,2141,0
1721,8,47,5,0,545,957,5,96,67,3861,0
1722,17,12,2,0,219,697,61,82,55,1858,1
1723,17,39,8,1,531,671,56,146,59,2715,0
1724,3,48,8,0,551,705,22,80,39,2276,0
1725,14,47,3,1,561,757,70,128,46,3821,1
1726,19,30,2,0,409,517,59,47,65,3011,1
1727,20,41,7,1,559,870,84,104,67,2059,0
1728,0,9,10,0,160,803,64,117,37,3737,0
1729,5,20,8,0,281,682,65,32,67,3643,1
1730,16,49,3,1,591,880,62,114,66,2621,1
1731,11,48,5,1,570,762,46,96,39,3483,0
1732,10,18,10,0,300,864,52,132,68,3847,0
1733,15,16,5,0,270,628,77,33,39,1375,0
1734,14,47,1,1,547,911,90,113,80,3462,1
1735,17,13,6,0,257,734,14,98,75,3385,0
1736,17,34,7,0,474,983,46,90,60,3656,0
1737,4,44,4,1,488,774,36,127,50,3074,0
1738,13,38,1,1,452,762,38,71,61,1664,0
1739,7,39,4,1,453,838,75,58,59,2705,1
1740,16,7,7,0,199,834,8,105,79,1763,0
1741,1,24,10,0,315,826,30,106,37,3457,1
1742,2,45,7,0,509,790,10,81,45,2697,0
1743,9,10,6,0,187,805,5,141,77,2835,1
1744,11,9,4,0,173,537,84,141,60,3798,1
1745,9,38,4,1,453,813,67,124,44,3949,0
1746,7,29,9,0,388,809,52,114,48,1247,0
1747,0,22,7,0,269,836,16,38,53,1271,1
1748,2,10,10,0,180,522,53,78,70,3436,1
1749,5,20,6,0,267,617,32,148,77,1559,0
1750,4,33,9,0,413,804,37,55,74,2528,1
